years_back,train_end_date,forecast_date,month_ahead,predicted_value
1,2024-06-01,2024-07-01,1,277.15887
1,2024-06-01,2024-08-01,2,288.19098
1,2024-06-01,2024-09-01,3,284.01825
1,2024-06-01,2024-10-01,4,289.41223
1,2024-06-01,2024-11-01,5,293.33038
1,2024-06-01,2024-12-01,6,309.11755
1,2024-06-01,2025-01-01,7,298.44266
1,2024-06-01,2025-02-01,8,312.4498
1,2024-06-01,2025-03-01,9,299.98743
1,2024-06-01,2025-04-01,10,306.81482
1,2024-06-01,2025-05-01,11,301.61935
1,2024-06-01,2025-06-01,12,313.65384
2,2023-06-01,2023-07-01,1,176.1712
2,2023-06-01,2023-08-01,2,187.84425
2,2023-06-01,2023-09-01,3,186.35461
2,2023-06-01,2023-10-01,4,173.84622
2,2023-06-01,2023-11-01,5,182.13054
2,2023-06-01,2023-12-01,6,190.38632
2,2023-06-01,2024-01-01,7,175.54529
2,2023-06-01,2024-02-01,8,186.17004
2,2023-06-01,2024-03-01,9,189.48206
2,2023-06-01,2024-04-01,10,174.95728
2,2023-06-01,2024-05-01,11,190.60785
2,2023-06-01,2024-06-01,12,183.67395
3,2022-06-01,2022-07-01,1,72.48593
3,2022-06-01,2022-08-01,2,74.74845
3,2022-06-01,2022-09-01,3,78.128265
3,2022-06-01,2022-10-01,4,74.9057
3,2022-06-01,2022-11-01,5,71.59397
3,2022-06-01,2022-12-01,6,72.32811
3,2022-06-01,2023-01-01,7,71.2369
3,2022-06-01,2023-02-01,8,75.40812
3,2022-06-01,2023-03-01,9,75.19462
3,2022-06-01,2023-04-01,10,74.4001
3,2022-06-01,2023-05-01,11,74.59947
3,2022-06-01,2023-06-01,12,72.149826
